timestamp,open,high,low,close,volume
2004-08-19,2.48373665849628,2.584575875869896,2.383392945764689,2.492180824279785,893181924
2004-08-20,2.5088219544888006,2.7092594852575287,2.496154641777937,2.690134048461914,456686856
2004-08-23,2.7507379921148813,2.8185435563368904,2.7085140934436494,2.717207193374634,365122512
2004-08-24,2.7629079775983,2.7718495399358525,2.572405397341677,2.6046934127807617,304946748
2004-08-25,2.6069296853443533,2.6824352159139915,2.580105470430996,2.632760524749756,183772044
2004-08-26,2.60668036899786,2.6811925199357978,2.599477805387151,2.680198907852173,141897960
2004-08-27,2.684918671292428,2.697834210528641,2.625061047318626,2.6364855766296387,124235640
2004-08-30,2.614877482937533,2.620093058995129,2.5336592197418213,2.5336592197418213,103935960
2004-08-31,2.5408621079271403,2.575882501413324,2.5373852934085552,2.5426008701324463,98357544
2004-09-01,2.5507968808201578,2.5575032303646767,2.4755395754995884,2.489945650100708,182765052
2004-09-02,2.463617593692112,2.5426006469681823,2.457408405305788,2.521240234375,302373324
2004-09-03,2.507331159170556,2.5269528084437782,2.466846023027052,2.483984470367432,103048848
2004-09-07,2.508822119189502,2.5334113596335484,2.4740499507085345,2.522979259490967,116950932
2004-09-08,2.5021154689193663,2.558992722145969,2.4961545061837067,2.5408618450164795,99712188
2004-09-09,2.54657478745778,2.551044977450865,2.5085740314798244,2.541110038757324,81234684
2004-09-10,2.523475886769877,2.6466691053611684,2.516024151613584,2.616118907928467,173977848
2004-09-13,2.6484076487722934,2.6926187812356024,2.644185683918569,2.670016527175904,156882960
2004-09-14,2.668774365210475,2.781784428612033,2.652381067391611,2.7691171169281006,216579204
2004-09-15,2.7460192283426275,2.8371724480579066,2.737077664290061,2.781785011291504,214261524
2004-09-16,2.7902288466332967,2.8761664790170425,2.773091343879428,2.830713987350464,185326488
2004-09-17,2.841890447753842,2.918141365051269,2.820282755683132,2.918141365051269,189450360
2004-09-20,2.904729361700266,3.020222624388292,2.900258225769054,2.9645872116088867,212575212
2004-09-21,2.9757643707866825,2.9909158337875845,2.9186388829532657,2.926835060119629,144575280
2004-09-22,2.9159062762743235,2.9722873194728017,2.901251975517025,2.940246343612671,151624224
2004-09-23,2.951672196277332,3.04580601093572,2.90646769072454,3.0008506774902344,170713116
2004-09-24,3.0038309808191745,3.0823171168513466,2.97452261512391,2.9762613773345947,182469348
2004-09-27,2.9695548365772253,3.0023400146958057,2.925841107998677,2.9372658729553223,141322536
